iter	Accuracy	MultiClass
0	0.7083115525	1.522380014
1	0.7307893361	1.438645695
2	0.7443805541	1.366877237
3	0.7511761631	1.314575193
4	0.7569262938	1.266804322
5	0.7564035546	1.220983832
6	0.7548353372	1.181750745
7	0.7506534239	1.145277929
8	0.7537898589	1.112843484
9	0.7506534239	1.079501297
10	0.7584945112	1.048677297
11	0.761108207	1.019827894
12	0.7579717721	0.9948079182
13	0.7616309462	0.9693072641
14	0.761108207	0.9497755502
15	0.7616309462	0.9327954973
16	0.7699947726	0.9132562748
17	0.7741766858	0.8912600922
18	0.7741766858	0.8740188149
19	0.7752221641	0.8548118676
20	0.7778358599	0.8361560701
21	0.7788813382	0.8205964876
22	0.7825405123	0.8101080402
23	0.7809722948	0.7970952887
24	0.7788813382	0.7846317289
25	0.7799268165	0.7735468104
26	0.7825405123	0.761349001
27	0.7841087297	0.750776581
28	0.7888133821	0.7388107497
29	0.7914270779	0.7275771745
30	0.7945635128	0.7180848425
31	0.7976999477	0.7061258346
32	0.798745426	0.6966354362
33	0.7997909043	0.6890185651
34	0.8008363826	0.681846926
35	0.8003136435	0.6749577875
36	0.8013591218	0.6675353898
37	0.8034500784	0.6588809026
38	0.8029273393	0.651274069
39	0.8029273393	0.6441399053
40	0.8050182959	0.6375245155
41	0.8065865133	0.6308578329
42	0.8097229482	0.6248230545
43	0.8128593832	0.6179297701
44	0.8128593832	0.6131854741
45	0.8102456874	0.6082375227
46	0.8128593832	0.6042655955
47	0.8139048615	0.5973136619
48	0.8165185572	0.591785023
49	0.8170412964	0.5871233977
50	0.8170412964	0.5814255426
51	0.8186095139	0.577760123
52	0.8201777313	0.5726984622
53	0.8196549922	0.5682181241
54	0.8227914271	0.5639074767
55	0.8238369054	0.5591898966
56	0.8248823837	0.5542971089
57	0.8248823837	0.5511738652
58	0.8248823837	0.5475694354
59	0.8285415578	0.543736118
60	0.8290642969	0.5404685005
61	0.8285415578	0.5366273791
62	0.8301097752	0.5333879526
63	0.8306325144	0.5309735297
64	0.8306325144	0.5262603257
65	0.832723471	0.5227098653
66	0.8337689493	0.5196456535
67	0.8348144276	0.5168852516
68	0.8342916884	0.5146217533
69	0.8353371668	0.5122121292
70	0.8369053842	0.5097703465
71	0.8374281234	0.506878909
72	0.8369053842	0.5046511851
73	0.83951908	0.5025230554
74	0.8410872974	0.4999086631
75	0.8416100366	0.4982246198
76	0.8426555149	0.4959913037
77	0.8431782541	0.4932856583
78	0.8452692107	0.4902701313
79	0.8442237324	0.4885466167
80	0.8447464715	0.4859109704
81	0.8447464715	0.4834949566
82	0.8442237324	0.4815102963
83	0.8452692107	0.4793340833
84	0.8447464715	0.4764206401
85	0.8452692107	0.4748431275
86	0.846314689	0.4730398472
87	0.8468374281	0.4707758503
88	0.8478829064	0.4687114454
89	0.8484056456	0.4668571169
90	0.8504966022	0.4646248315
91	0.8520648197	0.4630910102
92	0.8525875588	0.4609495433
93	0.853110298	0.458646805
94	0.8536330371	0.4568706847
95	0.8546785154	0.4549849317
96	0.8546785154	0.4529650705
97	0.8541557763	0.45147351
98	0.8546785154	0.4501466531
99	0.8541557763	0.4487087437
100	0.8536330371	0.4468591304
101	0.8546785154	0.4447428267
102	0.8541557763	0.4425530222
103	0.8541557763	0.4407484739
104	0.8546785154	0.4390488282
105	0.8541557763	0.4380697179
106	0.8546785154	0.4364471355
107	0.8562467329	0.4345613225
108	0.8572922112	0.4327669316
109	0.8583376895	0.4314121215
110	0.8578149503	0.4295058729
111	0.8609513853	0.4283889552
112	0.8609513853	0.4264639297
113	0.8619968636	0.4247640367
114	0.8625196027	0.4236149929
115	0.8619968636	0.4220470019
116	0.8630423419	0.4206337463
117	0.8661787768	0.4193054846
118	0.8667015159	0.4176654386
119	0.8667015159	0.4166758892
120	0.8672242551	0.4155990721
121	0.8682697334	0.4142925837
122	0.8682697334	0.4124723139
123	0.8693152117	0.4114427048
124	0.8693152117	0.4101344883
125	0.8677469942	0.4088184033
126	0.8687924726	0.4075089223
127	0.8714061683	0.4065939213
128	0.8729743858	0.4055129664
129	0.8729743858	0.4040624809
130	0.8719289075	0.4029107449
131	0.8724516466	0.4013613871
132	0.8734971249	0.4003104349
133	0.8745426032	0.3991338901
134	0.8750653424	0.3981068237
135	0.8755880815	0.3969471633
136	0.8761108207	0.3957848534
137	0.8766335599	0.3947155377
138	0.8787245165	0.3936617216
139	0.8787245165	0.3926283245
140	0.8787245165	0.3911861927
141	0.8787245165	0.3897161012
142	0.8797699948	0.3885883179
143	0.8797699948	0.3875905652
144	0.8797699948	0.3865685831
145	0.8792472556	0.385544765
146	0.8802927339	0.3843951974
147	0.8823836905	0.3833875442
148	0.8818609514	0.3822589357
149	0.8823836905	0.381209231
150	0.8818609514	0.3798882492
151	0.8818609514	0.3783963265
152	0.8813382122	0.3776144378
153	0.8823836905	0.3769445796
154	0.883951908	0.3760328805
155	0.883951908	0.3749170961
156	0.8844746472	0.3736672419
157	0.8844746472	0.3723821523
158	0.8860428646	0.3713580507
159	0.8870883429	0.3706324982
160	0.8865656038	0.3695343321
161	0.8860428646	0.3684196318
162	0.8865656038	0.3672429378
163	0.8881338212	0.365933521
164	0.8897020387	0.36506898
165	0.8897020387	0.3638073536
166	0.890747517	0.362924519
167	0.8912702561	0.3620523204
168	0.8917929953	0.3612341587
169	0.8923157344	0.3603176336
170	0.8923157344	0.3593214126
171	0.8928384736	0.3584261083
172	0.8923157344	0.3571943065
173	0.8949294302	0.3559708714
174	0.8954521694	0.3546351076
175	0.8959749085	0.3534658776
176	0.8959749085	0.3524542709
177	0.8964976477	0.3512894565
178	0.8970203868	0.3505585212
179	0.8970203868	0.3494472516
180	0.897543126	0.3485655824
181	0.8970203868	0.3474628856
182	0.8970203868	0.34648134
183	0.897543126	0.3454904337
184	0.8980658651	0.3444901665
185	0.8985886043	0.3434556936
186	0.8985886043	0.342569559
187	0.8996340826	0.3416603547
188	0.8991113434	0.3406592673
189	0.9001568217	0.3398292633
190	0.9001568217	0.3391873814
191	0.9017250392	0.3381012379
192	0.9006795609	0.3375349824
193	0.8996340826	0.3367629932
194	0.9001568217	0.336182075
195	0.9022477784	0.3353638599
196	0.9017250392	0.3344065488
197	0.9022477784	0.3338339955
198	0.9032932567	0.3329703814
199	0.9032932567	0.3322303934
200	0.9038159958	0.3313231307
201	0.9038159958	0.3305785258
202	0.9027705175	0.3295068502
203	0.9027705175	0.3286766644
204	0.9038159958	0.3277897614
205	0.9032932567	0.3271134552
206	0.904338735	0.3263555865
207	0.9053842133	0.3255820078
208	0.9059069524	0.3246536197
209	0.9059069524	0.323804381
210	0.9059069524	0.3229064197
211	0.9053842133	0.3221777536
212	0.9059069524	0.321092387
213	0.9064296916	0.3203697343
214	0.9069524307	0.3194762522
215	0.9085206482	0.3189051595
216	0.9085206482	0.3182213982
217	0.9095661265	0.3173114524
218	0.9095661265	0.3163706048
219	0.9090433873	0.3158731146
220	0.911134344	0.3152262344
221	0.9116570831	0.3144967529
222	0.9116570831	0.3138250624
223	0.9121798223	0.3133503198
224	0.9121798223	0.3127890403
225	0.9132253006	0.31212157
226	0.9132253006	0.3114878137
227	0.9137480397	0.3104643399
228	0.9132253006	0.3097159398
229	0.914793518	0.3088741674
230	0.9158389963	0.3080075398
231	0.9153162572	0.3073847381
232	0.9158389963	0.3068693158
233	0.9163617355	0.3065000891
234	0.9168844746	0.3058213603
235	0.9168844746	0.3051385842
236	0.9168844746	0.3045136746
237	0.917929953	0.3038909127
238	0.9184526921	0.3034328278
239	0.9184526921	0.3029017665
240	0.9184526921	0.3024245246
241	0.9194981704	0.3020100834
242	0.9189754313	0.3012361666
243	0.9194981704	0.3006913669
244	0.9194981704	0.300111859
245	0.9205436487	0.2995115158
246	0.9205436487	0.2988943519
247	0.9205436487	0.2983619683
248	0.9210663879	0.2977277852
249	0.9205436487	0.2970517554
250	0.9210663879	0.2963929218
251	0.921589127	0.2955683358
252	0.9221118662	0.295165292
253	0.921589127	0.2946587561
254	0.9226346053	0.293972578
255	0.9226346053	0.2933628505
256	0.9231573445	0.2926966642
257	0.9231573445	0.29221938
258	0.9231573445	0.2916163026
259	0.9236800836	0.2910806228
260	0.9231573445	0.2903418736
261	0.9226346053	0.2897511274
262	0.9226346053	0.2892895964
263	0.9231573445	0.2887293926
264	0.9236800836	0.2881887909
265	0.9247255619	0.2875292617
266	0.9247255619	0.2869684475
267	0.9242028228	0.2862136986
268	0.9247255619	0.2856301555
269	0.9242028228	0.2851853053
270	0.9257710403	0.2848035951
271	0.9247255619	0.2840337546
272	0.9247255619	0.2834872169
273	0.9247255619	0.2828805589
274	0.9247255619	0.2824625493
275	0.9247255619	0.2819177751
276	0.9252483011	0.2812483788
277	0.9257710403	0.2806312417
278	0.9262937794	0.2802272546
279	0.9262937794	0.2799251411
280	0.9262937794	0.2794120845
281	0.9268165186	0.278833576
282	0.9268165186	0.2783551278
283	0.9268165186	0.2779272139
284	0.9268165186	0.2772767475
285	0.9268165186	0.2768634295
286	0.9273392577	0.2761641157
287	0.9273392577	0.2756452946
288	0.9273392577	0.2750829624
289	0.9273392577	0.2745557707
290	0.928384736	0.2742079843
291	0.928384736	0.2735472048
292	0.9294302143	0.2731373916
293	0.9299529535	0.2723760779
294	0.9299529535	0.2718339161
295	0.9309984318	0.2712428405
296	0.9309984318	0.2707356716
297	0.9309984318	0.2703768047
298	0.9320439101	0.2698346215
299	0.9325666492	0.2692657489
300	0.9320439101	0.2685752733
301	0.9325666492	0.2680084396
302	0.9336121275	0.2674818813
303	0.9330893884	0.2669347108
304	0.9330893884	0.2666011185
305	0.9320439101	0.2660765488
306	0.9330893884	0.265563921
307	0.9330893884	0.2651465645
308	0.9325666492	0.2645485261
309	0.9325666492	0.2641662742
310	0.9330893884	0.2635843773
311	0.9330893884	0.2631767175
312	0.9336121275	0.262818288
313	0.9336121275	0.2623261108
314	0.9336121275	0.2619255774
315	0.9330893884	0.2615732635
316	0.9330893884	0.2610511082
317	0.9330893884	0.2605707543
318	0.9336121275	0.2602191545
319	0.9336121275	0.2598034043
320	0.9336121275	0.2593690236
321	0.9336121275	0.2589712826
322	0.9330893884	0.258401073
323	0.9341348667	0.2579704627
324	0.9341348667	0.2575526081
325	0.9341348667	0.2568947973
326	0.9346576059	0.2564120433
327	0.9357030842	0.2559451545
328	0.9357030842	0.2555769757
329	0.935180345	0.2551290735
330	0.9357030842	0.2545283361
331	0.9372713016	0.2539287075
332	0.9377940408	0.2533311575
333	0.9377940408	0.2529108733
334	0.9383167799	0.2524800935
335	0.9383167799	0.2521027762
336	0.9377940408	0.2516517763
337	0.9383167799	0.2513188733
338	0.9388395191	0.25077765
339	0.9388395191	0.2503170723
340	0.9393622582	0.2498199927
341	0.9393622582	0.2494703476
342	0.9393622582	0.2491666379
343	0.9388395191	0.2488849317
344	0.9393622582	0.2484167994
345	0.9388395191	0.2480186504
346	0.9393622582	0.2474410614
347	0.9388395191	0.2469843176
348	0.9393622582	0.2464495847
349	0.9398849974	0.246081416
350	0.9398849974	0.2456618388
351	0.9398849974	0.24524799
352	0.9398849974	0.2447892829
353	0.9398849974	0.2443919029
354	0.9398849974	0.2441263419
355	0.9409304757	0.2435991147
356	0.9404077365	0.2433284399
357	0.9409304757	0.2429599956
358	0.9409304757	0.242465115
359	0.9409304757	0.2421039951
360	0.9409304757	0.2417489197
361	0.9404077365	0.2413569606
362	0.9404077365	0.2409068387
363	0.9409304757	0.2404981825
364	0.9404077365	0.2401144264
365	0.9398849974	0.2398770594
366	0.9404077365	0.2395924412
367	0.9409304757	0.2391408244
368	0.9409304757	0.2385975889
369	0.9414532148	0.2380812292
370	0.9414532148	0.2376916288
371	0.9424986932	0.2372496361
372	0.941975954	0.2368914705
373	0.9414532148	0.236401149
374	0.9424986932	0.2360414952
375	0.9424986932	0.2355850635
376	0.9445896498	0.2351437435
377	0.9451123889	0.2345347692
378	0.9435441715	0.2341747661
379	0.9435441715	0.2338136622
380	0.9440669106	0.2335013472
381	0.9445896498	0.2331072528
382	0.9451123889	0.2327019606
383	0.9461578672	0.2320850342
384	0.9461578672	0.2316341218
385	0.9466806064	0.2313604138
386	0.9466806064	0.231115372
387	0.9466806064	0.2307333649
388	0.9461578672	0.2304375227
389	0.9466806064	0.230125585
390	0.9472033455	0.229784704
391	0.9466806064	0.2293734436
392	0.9472033455	0.2289312715
393	0.9477260847	0.2286227141
394	0.9477260847	0.2282402557
395	0.9477260847	0.2279650995
396	0.9477260847	0.2276342132
397	0.9472033455	0.2271958885
398	0.9472033455	0.2268043288
399	0.9472033455	0.2264504222
400	0.9482488238	0.2260047811
401	0.9477260847	0.2256301677
402	0.9482488238	0.2252532851
403	0.9477260847	0.2248733066
404	0.9477260847	0.2245329181
405	0.948771563	0.2241048659
406	0.948771563	0.2235997334
407	0.948771563	0.2234283227
408	0.948771563	0.2231284589
409	0.948771563	0.2228676239
410	0.9482488238	0.2225972644
411	0.9492943021	0.2221823669
412	0.948771563	0.2219070539
413	0.9492943021	0.2214584448
414	0.9492943021	0.2211937561
415	0.948771563	0.2209143505
416	0.948771563	0.2206958392
417	0.948771563	0.2203826527
418	0.948771563	0.219987238
419	0.9492943021	0.2196877964
420	0.9519079979	0.2192131923
421	0.9519079979	0.2187849598
422	0.9519079979	0.2182204111
423	0.9519079979	0.2178163453
424	0.9508625196	0.2175249423
425	0.9513852588	0.2171608488
426	0.9513852588	0.2166848485
427	0.9513852588	0.2163141636
428	0.9519079979	0.216009173
429	0.9519079979	0.2157411478
430	0.9519079979	0.2153873897
431	0.9524307371	0.2149811974
432	0.9524307371	0.2147202953
433	0.9524307371	0.2144221645
434	0.9524307371	0.2140991171
435	0.9529534762	0.2137439462
436	0.9539989545	0.2134561562
