iter	Passed	Remaining
0	89	44776
1	97	24203
2	106	17697
3	118	14698
4	127	12654
5	138	11379
6	145	10271
7	154	9475
8	161	8796
9	167	8213
10	174	7749
11	181	7363
12	185	6943
13	192	6672
14	197	6384
15	202	6119
16	207	5904
17	212	5699
18	218	5525
19	223	5358
20	227	5187
21	231	5038
22	236	4905
23	241	4784
24	245	4668
25	250	4557
26	254	4463
27	258	4359
28	263	4287
29	268	4213
30	273	4143
31	278	4076
32	283	4016
33	288	3952
34	292	3892
35	297	3834
36	302	3781
37	306	3729
38	312	3696
39	319	3670
40	325	3643
41	329	3594
42	334	3558
43	339	3515
44	343	3477
45	348	3442
46	353	3406
47	358	3377
48	362	3337
49	367	3309
50	372	3275
51	377	3248
52	382	3223
53	387	3200
54	392	3179
55	399	3164
56	403	3137
57	408	3114
58	413	3089
59	418	3067
60	423	3046
61	428	3025
62	433	3004
63	437	2979
64	442	2959
65	446	2937
66	450	2913
67	455	2895
68	460	2874
69	464	2855
70	469	2834
71	474	2818
72	478	2797
73	483	2780
74	487	2762
75	490	2735
76	494	2719
77	499	2704
78	504	2688
79	508	2669
80	513	2654
81	518	2640
82	523	2629
83	528	2615
84	532	2601
85	539	2595
86	544	2587
87	549	2574
88	555	2564
89	561	2557
90	565	2542
91	571	2533
92	576	2524
93	582	2514
94	587	2505
95	592	2493
96	597	2481
97	602	2473
98	607	2462
99	613	2453
100	619	2447
101	625	2439
102	630	2429
103	636	2422
104	641	2412
105	645	2401
106	652	2394
107	657	2387
108	663	2378
109	668	2368
110	674	2363
111	679	2354
112	685	2346
113	690	2338
114	695	2327
115	700	2317
116	704	2307
117	709	2297
118	714	2287
119	719	2276
120	724	2269
121	729	2260
122	733	2249
123	738	2240
124	743	2230
125	748	2221
126	754	2214
127	758	2205
128	764	2197
129	769	2189
130	773	2179
131	778	2171
132	783	2161
133	789	2155
134	793	2145
135	797	2134
136	802	2126
137	806	2116
138	811	2107
139	816	2100
140	821	2092
141	826	2083
142	831	2076
143	837	2069
144	842	2062
145	847	2055
146	853	2048
147	857	2040
148	862	2031
149	867	2023
150	871	2015
151	876	2007
152	881	1998
153	885	1990
154	890	1982
155	895	1974
156	900	1967
157	904	1958
158	909	1951
159	914	1944
160	920	1938
161	925	1930
162	930	1923
163	935	1916
164	940	1910
165	945	1902
166	950	1894
167	955	1887
168	960	1880
169	965	1875
170	970	1868
171	976	1861
172	981	1855
173	987	1849
174	992	1842
175	997	1835
176	1002	1829
177	1007	1822
178	1012	1815
179	1017	1809
180	1023	1803
181	1028	1797
182	1033	1790
183	1038	1783
184	1044	1777
185	1048	1770
186	1054	1765
187	1060	1759
188	1066	1754
189	1072	1749
190	1077	1743
191	1082	1736
192	1089	1732
193	1095	1727
194	1101	1722
195	1107	1717
196	1112	1711
197	1118	1705
198	1123	1699
199	1129	1693
200	1134	1687
201	1139	1680
202	1144	1674
203	1150	1668
204	1154	1661
205	1159	1654
206	1164	1647
207	1169	1641
208	1174	1635
209	1179	1628
210	1184	1622
211	1189	1615
212	1194	1609
213	1200	1603
214	1204	1596
215	1210	1591
216	1214	1584
217	1219	1577
218	1224	1571
219	1230	1565
220	1235	1559
221	1241	1554
222	1246	1547
223	1251	1542
224	1256	1536
225	1261	1528
226	1266	1522
227	1270	1516
228	1275	1509
229	1280	1503
230	1285	1496
231	1290	1490
232	1295	1484
233	1300	1477
234	1304	1471
235	1309	1464
236	1314	1458
237	1318	1451
238	1324	1446
239	1329	1440
240	1334	1434
241	1339	1428
242	1344	1422
243	1350	1416
244	1356	1412
245	1362	1407
246	1367	1400
247	1372	1394
248	1378	1389
249	1382	1382
250	1387	1376
251	1392	1370
252	1397	1363
253	1402	1358
254	1407	1352
255	1412	1346
256	1417	1339
257	1421	1333
258	1426	1327
259	1431	1321
260	1436	1315
261	1441	1309
262	1446	1303
263	1451	1297
264	1455	1290
265	1460	1284
266	1465	1278
267	1469	1272
268	1474	1266
269	1479	1260
270	1484	1254
271	1488	1248
